2020/03/20 17:13:55 [error] 1220#0: *19 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:55 [error] 1221#0: *29 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /tutorial HTTP/1.1", upstream: "http://127.0.0.1:5000/tutorial", host: "diagame.informatics.buu.ac.th"
2020/03/20 17:13:55 [error] 1221#0: *29 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:55 [error] 1220#0: *32 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:56 [error] 1221#0: *29 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:5000/", host: "diagame.informatics.buu.ac.th"
2020/03/20 17:13:56 [error] 1220#0: *16 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /stylesheets/fonts/font.css HTTP/1.1", upstream: "http://127.0.0.1:5000/stylesheets/fonts/font.css", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:56 [error] 1220#0: *19 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /materialize-css/dist/css/materialize.min.css HTTP/1.1", upstream: "http://127.0.0.1:5000/materialize-css/dist/css/materialize.min.css", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:56 [error] 1220#0: *23 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /jquery/dist/jquery.min.js HTTP/1.1", upstream: "http://127.0.0.1:5000/jquery/dist/jquery.min.js", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:56 [error] 1221#0: *29 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/"
2020/03/20 17:13:56 [error] 1220#0: *32 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/"
